,Tokens,Occurences
387,research,"[('T1.txt', 1), ('T4.txt', 1), ('T6.txt', 2), ('T9.txt', 2), ('T10.txt', 2)]"
388,seawe,"[('T6.txt', 1), ('T7.txt', 2)]"
389,revis,"[('T5.txt', 1)]"
390,titan,"[('T3.txt', 1)]"
391,serv,"[('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 1)]"
392,handkerchief,"[('T9.txt', 1)]"
393,electron,"[('T1.txt', 10), ('T9.txt', 102), ('T10.txt', 32)]"
394,greatest,"[('T1.txt', 5), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
395,victori,"[('T6.txt', 1)]"
396,prefer,"[('T5.txt', 1)]"
397,ether,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T9.txt', 33), ('T10.txt', 18)]"
398,level,"[('T6.txt', 5), ('T7.txt', 4)]"
399,place,"[('T2.txt', 3), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 6), ('T7.txt', 9), ('T8.txt', 1), ('T9.txt', 4), ('T10.txt', 4)]"
400,bee,"[('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 7)]"
401,corrobor,"[('T8.txt', 1)]"
402,_lingulella_,"[('T7.txt', 1)]"
403,heavili,"[('T7.txt', 1)]"
404,system,"[('T1.txt', 24), ('T2.txt', 1), ('T3.txt', 3), ('T4.txt', 9), ('T5.txt', 8), ('T6.txt', 10), ('T7.txt', 7), ('T9.txt', 2), ('T10.txt', 4)]"
405,oven,"[('T9.txt', 1)]"
406,transform,"[('T1.txt', 2), ('T7.txt', 4), ('T9.txt', 7), ('T10.txt', 2)]"
407,readabl,"[('T10.txt', 2)]"
408,taken,"[('T1.txt', 6), ('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
409,argument,"[('T3.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
410,1924,"[('T3.txt', 1)]"
411,cromagnon,"[('T1.txt', 1)]"
412,musculatur,"[('T7.txt', 1)]"
413,coin,"[('T6.txt', 1), ('T9.txt', 1)]"
414,joul,"[('T9.txt', 1)]"
415,portugues,"[('T1.txt', 1)]"
416,_did_,"[('T10.txt', 1)]"
417,portent,"[('T5.txt', 1), ('T9.txt', 1)]"
418,accomplish,"[('T7.txt', 1), ('T9.txt', 3)]"
419,abil,"[('T7.txt', 1)]"
420,dwell,"[('T7.txt', 1)]"
421,retir,"[('T8.txt', 1)]"
422,includ,"[('T1.txt', 3), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 8), ('T9.txt', 2), ('T10.txt', 12)]"
423,eloqu,"[('T7.txt', 4)]"
424,pet,"[('T8.txt', 1)]"
425,someth,"[('T1.txt', 1), ('T5.txt', 3), ('T6.txt', 4), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 6)]"
426,protrus,"[('T7.txt', 1)]"
427,88,"[('T5.txt', 1)]"
428,punt,"[('T7.txt', 1)]"
429,evad,"[('T6.txt', 1), ('T7.txt', 3), ('T10.txt', 1)]"
430,77,"[('T1.txt', 2)]"
431,transit,"[('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
432,8859,"[('T1.txt', 1)]"
433,concept,"[('T1.txt', 2), ('T2.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
434,either,"[('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
435,altogeth,"[('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 1)]"
436,oil,"[('T8.txt', 1), ('T9.txt', 1)]"
437,serial,"[('T1.txt', 1)]"
438,honour,"[('T7.txt', 1)]"
439,chief,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
440,_________,"[('T5.txt', 2)]"
441,prematur,"[('T7.txt', 1)]"
442,liver,"[('T7.txt', 1)]"
443,eighth,"[('T1.txt', 1), ('T9.txt', 1)]"
444,chamberlin,"[('T6.txt', 4)]"
445,lag,"[('T10.txt', 1)]"
446,photospher,"[('T1.txt', 4), ('T2.txt', 11)]"
447,particular,"[('T2.txt', 2), ('T6.txt', 1), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 3)]"
448,pistil,"[('T6.txt', 1)]"
449,persuad,"[('T3.txt', 1)]"
450,unit,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 10), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 11)]"
451,unpay,"[('T7.txt', 1)]"
452,glanc,"[('T1.txt', 1)]"
453,condens,"[('T1.txt', 2), ('T4.txt', 6), ('T6.txt', 5), ('T7.txt', 1)]"
454,call,"[('T1.txt', 14), ('T2.txt', 7), ('T3.txt', 2), ('T4.txt', 2), ('T5.txt', 2), ('T6.txt', 21), ('T7.txt', 19), ('T8.txt', 6), ('T9.txt', 14), ('T10.txt', 2)]"
455,figur,"[('T1.txt', 3), ('T9.txt', 2)]"
456,cells_,"[('T6.txt', 1)]"
457,murray,"[('T1.txt', 1), ('T9.txt', 1)]"
458,boni,"[('T7.txt', 1)]"
459,cessat,"[('T7.txt', 1)]"
460,greenwich,"[('T1.txt', 3), ('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1)]"
461,request,"[('T10.txt', 1)]"
462,432,"[('T1.txt', 1)]"
463,farth,"[('T9.txt', 1)]"
464,aurora,"[('T1.txt', 1), ('T2.txt', 3), ('T4.txt', 1)]"
465,lech,"[('T1.txt', 1), ('T7.txt', 1)]"
466,berenic,"[('T5.txt', 2)]"
467,energet,"[('T6.txt', 2), ('T9.txt', 2)]"
468,hotter,"[('T2.txt', 1), ('T4.txt', 3), ('T9.txt', 3), ('T10.txt', 1)]"
469,43,"[('T5.txt', 1)]"
470,band,"[('T1.txt', 2), ('T5.txt', 1), ('T9.txt', 1)]"
471,alreadi,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 5)]"
472,enemi,"[('T6.txt', 1), ('T7.txt', 1)]"
473,caught,"[('T1.txt', 1)]"
474,sacr,"[('T8.txt', 1)]"
475,feet,"[('T4.txt', 1), ('T5.txt', 3), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
476,heaviest,"[('T9.txt', 2), ('T10.txt', 1)]"
477,pal,"[('T7.txt', 6)]"
478,volans_,"[('T7.txt', 1)]"
479,stolen,"[('T9.txt', 1)]"
480,heat,"[('T1.txt', 6), ('T2.txt', 9), ('T3.txt', 3), ('T4.txt', 7), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 36), ('T10.txt', 17)]"
481,sedentari,"[('T6.txt', 3)]"
482,hint,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1)]"
483,plaic,"[('T7.txt', 1)]"
484,punit,"[('T10.txt', 1)]"
485,way,"[('T1.txt', 19), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 4), ('T5.txt', 16), ('T6.txt', 14), ('T7.txt', 22), ('T8.txt', 9), ('T9.txt', 7), ('T10.txt', 9)]"
486,normal,"[('T9.txt', 1)]"
487,orbit,"[('T1.txt', 6), ('T6.txt', 1), ('T9.txt', 3)]"
488,disk,"[('T10.txt', 1)]"
489,love,"[('T7.txt', 1)]"
490,motley,"[('T8.txt', 1)]"
491,carri,"[('T1.txt', 3), ('T6.txt', 3), ('T7.txt', 3), ('T9.txt', 5), ('T10.txt', 2)]"
492,offshoot,"[('T1.txt', 1)]"
493,defenceless,"[('T7.txt', 1)]"
494,disguis,"[('T1.txt', 1)]"
495,one,"[('T1.txt', 30), ('T2.txt', 15), ('T3.txt', 6), ('T4.txt', 4), ('T5.txt', 20), ('T6.txt', 46), ('T7.txt', 42), ('T8.txt', 10), ('T9.txt', 47), ('T10.txt', 19)]"
496,gaug,"[('T1.txt', 1), ('T7.txt', 1)]"
497,mainten,"[('T7.txt', 1)]"
498,potenti,"[('T6.txt', 2), ('T9.txt', 3)]"
499,helpless,"[('T7.txt', 1)]"
500,notic,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 3), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 2), ('T10.txt', 5)]"
501,elliot,"[('T1.txt', 1)]"
502,opteryx,"[('T1.txt', 1), ('T7.txt', 2)]"
503,saturn,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 9), ('T5.txt', 1)]"
504,path,"[('T1.txt', 4), ('T8.txt', 2), ('T9.txt', 4)]"
505,construct,"[('T5.txt', 7), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 1)]"
506,onlin,"[('T1.txt', 2), ('T10.txt', 4)]"
507,annual,"[('T7.txt', 1)]"
508,travel,"[('T1.txt', 6), ('T4.txt', 4), ('T5.txt', 1), ('T6.txt', 5), ('T9.txt', 16), ('T10.txt', 4)]"
509,moth,"[('T1.txt', 1), ('T6.txt', 6), ('T7.txt', 3), ('T8.txt', 1)]"
510,tantalis,"[('T10.txt', 1)]"
511,ordovician,"[('T7.txt', 2)]"
512,zoolog,"[('T1.txt', 5)]"
513,engin,"[('T9.txt', 1)]"
514,steep,"[('T4.txt', 1), ('T7.txt', 1)]"
515,swiftli,"[('T7.txt', 1), ('T9.txt', 1)]"
516,60,"[('T1.txt', 2), ('T2.txt', 1), ('T10.txt', 1)]"
517,enabl,"[('T1.txt', 2), ('T2.txt', 2), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 2)]"
518,indet,"[('T8.txt', 1)]"
519,phalang,"[('T7.txt', 1)]"
520,stigma,"[('T7.txt', 1)]"
521,show,"[('T1.txt', 16), ('T2.txt', 10), ('T3.txt', 3), ('T4.txt', 6), ('T6.txt', 12), ('T7.txt', 20), ('T8.txt', 2), ('T9.txt', 10), ('T10.txt', 1)]"
522,insect,"[('T1.txt', 3), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 23), ('T8.txt', 2)]"
523,achiev,"[('T6.txt', 2), ('T7.txt', 1)]"
524,frequenc,"[('T7.txt', 1)]"
525,shell,"[('T1.txt', 6), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T8.txt', 8), ('T9.txt', 1)]"
526,realiti,"[('T5.txt', 1), ('T9.txt', 1)]"
527,represent,"[('T1.txt', 1), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
528,amarus_,"[('T1.txt', 1)]"
529,45,"[('T1.txt', 1)]"
530,pump,"[('T9.txt', 2)]"
531,residu,"[('T4.txt', 1)]"
532,weird,"[('T1.txt', 1), ('T4.txt', 1)]"
533,ration,"[('T6.txt', 1), ('T7.txt', 1)]"
534,improv,"[('T1.txt', 1), ('T7.txt', 1)]"
535,chiefli,"[('T5.txt', 2), ('T8.txt', 1)]"
536,w,"[('T1.txt', 13), ('T3.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
537,trigger,"[('T6.txt', 4), ('T8.txt', 2)]"
538,infinit,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
539,albatro,"[('T7.txt', 1)]"
540,american_,"[('T1.txt', 1)]"
541,ascrib,"[('T10.txt', 1)]"
542,yorkshir,"[('T8.txt', 1)]"
543,stripe,"[('T6.txt', 1), ('T7.txt', 1)]"
544,insert,"[('T7.txt', 1)]"
545,knipe,"[('T1.txt', 3), ('T7.txt', 3)]"
546,_stori,"[('T7.txt', 1)]"
547,condit,"[('T1.txt', 2), ('T2.txt', 3), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 10), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
548,bag,"[('T6.txt', 1), ('T7.txt', 1)]"
549,laps,"[('T7.txt', 1), ('T9.txt', 1)]"
550,rarest,"[('T1.txt', 1)]"
551,stopper,"[('T2.txt', 1)]"
552,wild_,"[('T1.txt', 1)]"
553,guinea,"[('T8.txt', 1)]"
554,norman,"[('T2.txt', 1), ('T6.txt', 1), ('T10.txt', 1)]"
555,limbless,"[('T8.txt', 1)]"
556,worth,"[('T6.txt', 2), ('T7.txt', 1)]"
557,starfish,"[('T1.txt', 2), ('T7.txt', 3)]"
558,bay,"[('T10.txt', 1)]"
559,44,"[('T1.txt', 1)]"
560,absent,"[('T5.txt', 1), ('T7.txt', 1)]"
561,adopt,"[('T5.txt', 1)]"
562,swift,"[('T7.txt', 1)]"
563,year,"[('T1.txt', 12), ('T2.txt', 9), ('T3.txt', 3), ('T4.txt', 5), ('T5.txt', 7), ('T6.txt', 8), ('T7.txt', 14), ('T8.txt', 1), ('T9.txt', 11), ('T10.txt', 4)]"
564,william,"[('T1.txt', 2), ('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
565,socket,"[('T8.txt', 1)]"
566,brillianc,"[('T5.txt', 1)]"
567,einstein,"[('T1.txt', 2), ('T10.txt', 3)]"
568,end,"[('T1.txt', 2), ('T2.txt', 4), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 6), ('T7.txt', 5), ('T9.txt', 4), ('T10.txt', 4)]"
569,105,"[('T1.txt', 1)]"
570,radianc,"[('T6.txt', 2)]"
571,reflux,"[('T10.txt', 1)]"
572,six,"[('T1.txt', 2), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T9.txt', 4)]"
573,nation,"[('T1.txt', 1)]"
574,action,"[('T4.txt', 1), ('T6.txt', 11), ('T7.txt', 5), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 5)]"
575,grasp,"[('T7.txt', 1), ('T9.txt', 1)]"
576,mcintosh,"[('T1.txt', 1)]"
577,mouth,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 4)]"
578,paw,"[('T8.txt', 2)]"
579,beun,"[('T1.txt', 1)]"
580,pariasauru,"[('T1.txt', 1), ('T7.txt', 1)]"
581,newborn,"[('T6.txt', 1)]"
582,pivot,"[('T9.txt', 3)]"
583,encyclop,"[('T1.txt', 1)]"
584,know,"[('T1.txt', 7), ('T2.txt', 9), ('T3.txt', 2), ('T4.txt', 7), ('T5.txt', 5), ('T6.txt', 6), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 12), ('T10.txt', 7)]"
585,forward,"[('T7.txt', 1), ('T10.txt', 1)]"
586,proterospongia,"[('T1.txt', 1), ('T6.txt', 1)]"
587,matter,"[('T1.txt', 18), ('T2.txt', 7), ('T3.txt', 1), ('T4.txt', 9), ('T5.txt', 2), ('T6.txt', 17), ('T7.txt', 2), ('T9.txt', 42), ('T10.txt', 12)]"
588,north,"[('T1.txt', 4), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 4), ('T10.txt', 1)]"
589,30,"[('T1.txt', 2), ('T10.txt', 1)]"
590,sea,"[('T1.txt', 17), ('T4.txt', 2), ('T6.txt', 23), ('T7.txt', 35), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 5)]"
591,claim,"[('T1.txt', 1), ('T3.txt', 1), ('T10.txt', 1)]"
592,vital,"[('T1.txt', 1), ('T6.txt', 7), ('T7.txt', 6)]"
593,wari,"[('T8.txt', 1)]"
594,perhap,"[('T1.txt', 5), ('T2.txt', 1), ('T4.txt', 2), ('T6.txt', 3), ('T7.txt', 20), ('T8.txt', 1), ('T9.txt', 2)]"
595,see,"[('T1.txt', 9), ('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 4), ('T5.txt', 9), ('T6.txt', 4), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 11), ('T10.txt', 10)]"
596,solitari,"[('T4.txt', 2)]"
597,bubbl,"[('T1.txt', 1), ('T4.txt', 1), ('T9.txt', 1)]"
598,multipl,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
599,outflow,"[('T1.txt', 1), ('T6.txt', 1)]"
600,hark,"[('T7.txt', 1)]"
601,play,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
602,valid,"[('T7.txt', 1)]"
603,aimless,"[('T8.txt', 1)]"
604,sinc,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 5)]"
605,rude,"[('T9.txt', 1)]"
606,61,"[('T1.txt', 2)]"
607,foothold,"[('T7.txt', 2)]"
608,vortex,"[('T2.txt', 1), ('T10.txt', 2)]"
609,disclaim,"[('T10.txt', 5)]"
610,amazingli,"[('T9.txt', 1)]"
611,foretel,"[('T1.txt', 1)]"
612,rhythmic,"[('T10.txt', 1)]"
613,fashion,"[('T1.txt', 1), ('T6.txt', 2), ('T7.txt', 2)]"
614,sure,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
615,kangaroo,"[('T1.txt', 1), ('T7.txt', 1)]"
616,pinion,"[('T7.txt', 1)]"
617,burrow,"[('T6.txt', 1), ('T7.txt', 5)]"
618,hoatzin,"[('T1.txt', 1), ('T7.txt', 1)]"
619,wreckag,"[('T6.txt', 1)]"
620,bloweth,"[('T1.txt', 1)]"
621,print,"[('T1.txt', 12), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 3)]"
622,photo,"[('T1.txt', 88)]"
623,financi,"[('T10.txt', 1)]"
624,indirectli,"[('T9.txt', 1), ('T10.txt', 1)]"
625,held,"[('T1.txt', 2), ('T6.txt', 1), ('T9.txt', 4)]"
626,renal,"[('T1.txt', 1), ('T6.txt', 1)]"
627,dispens,"[('T9.txt', 1), ('T10.txt', 1)]"
628,918,"[('T6.txt', 1)]"
629,link,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 4)]"
630,exalt,"[('T7.txt', 1)]"
631,dissolv,"[('T6.txt', 3), ('T7.txt', 4), ('T9.txt', 1)]"
632,kippax,"[('T5.txt', 1)]"
633,depress,"[('T6.txt', 1), ('T7.txt', 1)]"
634,258,"[('T1.txt', 2)]"
635,slime,"[('T7.txt', 1)]"
636,vestigi,"[('T7.txt', 1)]"
637,gallop,"[('T1.txt', 1)]"
638,fierc,"[('T4.txt', 1)]"
639,door,"[('T1.txt', 2), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 2)]"
640,3030,"[('T5.txt', 1)]"
641,140,"[('T1.txt', 2)]"
642,tree,"[('T1.txt', 4), ('T5.txt', 2), ('T6.txt', 5), ('T7.txt', 9), ('T8.txt', 2), ('T9.txt', 1)]"
643,reli,"[('T3.txt', 1)]"
644,shadow,"[('T1.txt', 3), ('T4.txt', 1)]"
645,cloudlet,"[('T2.txt', 2)]"
646,primari,"[('T2.txt', 3), ('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 4)]"
647,detail,"[('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
648,temperatur,"[('T1.txt', 3), ('T2.txt', 4), ('T4.txt', 6), ('T5.txt', 1), ('T6.txt', 4), ('T8.txt', 1), ('T9.txt', 3), ('T10.txt', 21)]"
649,offer,"[('T1.txt', 2), ('T4.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T10.txt', 1)]"
650,go,"[('T1.txt', 2), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 8), ('T7.txt', 3), ('T8.txt', 2), ('T9.txt', 8), ('T10.txt', 8)]"
651,phenomenon,"[('T9.txt', 1)]"
652,1825,"[('T1.txt', 1), ('T7.txt', 1)]"
653,reveal,"[('T1.txt', 2), ('T2.txt', 2), ('T5.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
654,legal,"[('T10.txt', 3)]"
655,outlin,"[('T1.txt', 14), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 7)]"
656,supra,"[('T1.txt', 1), ('T6.txt', 1)]"
657,jellyfish,"[('T6.txt', 1), ('T7.txt', 3)]"
658,sunlight,"[('T1.txt', 1), ('T2.txt', 5), ('T3.txt', 1), ('T6.txt', 3), ('T9.txt', 6)]"
659,afford,"[('T1.txt', 1), ('T7.txt', 1)]"
660,jame,"[('T1.txt', 5), ('T10.txt', 1)]"
661,final,"[('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 1), ('T7.txt', 3), ('T9.txt', 1), ('T10.txt', 4)]"
662,sapper,"[('T6.txt', 1)]"
663,nebular,"[('T1.txt', 3), ('T4.txt', 7), ('T6.txt', 3)]"
664,harmonis,"[('T6.txt', 1)]"
665,frequent,"[('T6.txt', 1), ('T7.txt', 1)]"
666,collid,"[('T5.txt', 1)]"
667,fri,"[('T1.txt', 3)]"
668,_triassic_,"[('T7.txt', 1)]"
669,instinct,"[('T1.txt', 4), ('T6.txt', 4), ('T7.txt', 16), ('T8.txt', 24)]"
670,synthesi,"[('T10.txt', 1)]"
671,vogu,"[('T9.txt', 1)]"
672,intricaci,"[('T1.txt', 1)]"
673,pleistocen,"[('T1.txt', 1), ('T7.txt', 1)]"
674,electrician,"[('T9.txt', 1)]"
675,sound,"[('T4.txt', 2), ('T7.txt', 4), ('T8.txt', 5), ('T9.txt', 6)]"
676,keel,"[('T7.txt', 2)]"
677,crop,"[('T7.txt', 2), ('T8.txt', 1)]"
678,scissor,"[('T9.txt', 2)]"
679,cast,"[('T1.txt', 2)]"
680,elementari,"[('T1.txt', 1), ('T6.txt', 1)]"
681,assum,"[('T2.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
682,coral,"[('T1.txt', 1), ('T6.txt', 5)]"
683,babi,"[('T1.txt', 3)]"
684,harmless,"[('T10.txt', 1)]"
685,posit,"[('T1.txt', 1), ('T2.txt', 6), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 19), ('T10.txt', 3)]"
686,unseen,"[('T8.txt', 1)]"
687,messr,"[('T1.txt', 3)]"
688,size,"[('T1.txt', 8), ('T2.txt', 1), ('T3.txt', 3), ('T4.txt', 2), ('T5.txt', 7), ('T6.txt', 3), ('T7.txt', 11)]"
689,inevit,"[('T6.txt', 3), ('T9.txt', 1)]"
690,object,"[('T1.txt', 5), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T9.txt', 1)]"
691,flora,"[('T7.txt', 4)]"
692,due,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T7.txt', 9), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
693,revenu,"[('T10.txt', 1)]"
694,destruct,"[('T6.txt', 1)]"
695,meteorit,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 5), ('T6.txt', 7)]"
696,incalcul,"[('T4.txt', 1)]"
697,wrongli,"[('T3.txt', 1)]"
698,figment,"[('T4.txt', 1)]"
699,zero,"[('T10.txt', 2)]"
700,circul,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 3)]"
701,substitut,"[('T1.txt', 1), ('T9.txt', 2)]"
702,terrif,"[('T4.txt', 1)]"
703,among,"[('T1.txt', 2), ('T6.txt', 7), ('T7.txt', 16), ('T8.txt', 1)]"
704,arrow,"[('T3.txt', 1), ('T9.txt', 1)]"
705,motil,"[('T6.txt', 2)]"
706,franc,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
707,crow,"[('T7.txt', 2)]"
708,aquat,"[('T1.txt', 1), ('T7.txt', 3)]"
709,keep,"[('T1.txt', 1), ('T4.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 5)]"
710,obelia,"[('T1.txt', 1), ('T6.txt', 1)]"
711,paddl,"[('T7.txt', 2)]"
712,trypanosoma,"[('T1.txt', 1), ('T6.txt', 1)]"
713,239,"[('T1.txt', 1)]"
714,scratch,"[('T8.txt', 1)]"
715,rivalri,"[('T5.txt', 2)]"
716,bent,"[('T9.txt', 1)]"
717,valuabl,"[('T9.txt', 1)]"
718,christen,"[('T2.txt', 1)]"
719,158,"[('T1.txt', 1)]"
720,ozoic,"[('T7.txt', 9)]"
721,cenozo,"[('T7.txt', 4)]"
722,pretti,"[('T9.txt', 1)]"
723,appear,"[('T1.txt', 3), ('T2.txt', 5), ('T3.txt', 1), ('T4.txt', 3), ('T5.txt', 4), ('T6.txt', 5), ('T7.txt', 10), ('T9.txt', 5), ('T10.txt', 4)]"
724,gentl,"[('T6.txt', 1)]"
725,upward,"[('T1.txt', 2), ('T2.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
726,full,"[('T1.txt', 2), ('T4.txt', 3), ('T6.txt', 1), ('T7.txt', 3), ('T10.txt', 14)]"
727,difficulti,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 8), ('T9.txt', 3), ('T10.txt', 1)]"
728,safe,"[('T6.txt', 1), ('T7.txt', 4), ('T9.txt', 1)]"
729,la,"[('T1.txt', 1)]"
730,widespread,"[('T6.txt', 1), ('T7.txt', 1)]"
731,cliff,"[('T6.txt', 1), ('T9.txt', 1)]"
732,pit,"[('T1.txt', 1), ('T4.txt', 1), ('T8.txt', 1)]"
733,own,"[('T10.txt', 2)]"
734,spectacular,"[('T5.txt', 1), ('T9.txt', 2)]"
735,secondli,"[('T6.txt', 1)]"
736,agassiz,"[('T6.txt', 1)]"
737,paloloworm,"[('T6.txt', 1)]"
738,1908,"[('T1.txt', 2), ('T4.txt', 2)]"
739,astound,"[('T7.txt', 2)]"
740,preserv,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
741,though,"[('T1.txt', 1), ('T6.txt', 5), ('T7.txt', 8), ('T8.txt', 2), ('T9.txt', 4), ('T10.txt', 1)]"
742,harpi,"[('T1.txt', 1)]"
743,imperfect,"[('T1.txt', 2), ('T5.txt', 1)]"
744,indiffer,"[('T8.txt', 1)]"
745,sluggish,"[('T6.txt', 3), ('T8.txt', 1)]"
746,economis,"[('T7.txt', 2)]"
747,vaporis,"[('T3.txt', 1), ('T5.txt', 1)]"
748,inattent,"[('T8.txt', 1)]"
749,stockholm,"[('T1.txt', 1), ('T7.txt', 1)]"
750,swoop,"[('T1.txt', 1), ('T7.txt', 2)]"
751,imperi,"[('T1.txt', 2)]"
752,mail,"[('T7.txt', 1), ('T10.txt', 1)]"
753,germ,"[('T1.txt', 1), ('T6.txt', 8), ('T7.txt', 4)]"
754,radium,"[('T1.txt', 4), ('T6.txt', 2), ('T9.txt', 18)]"
755,reproduct,"[('T6.txt', 10), ('T7.txt', 3)]"
756,digit,"[('T7.txt', 2)]"
757,exist,"[('T1.txt', 1), ('T2.txt', 2), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 4), ('T9.txt', 11), ('T10.txt', 12)]"
758,upkeep,"[('T6.txt', 1)]"
759,886,"[('T5.txt', 1)]"
760,omn,"[('T6.txt', 1)]"
761,marinus_,"[('T1.txt', 1)]"
762,riddl,"[('T6.txt', 1)]"
763,nemesi,"[('T6.txt', 1)]"
