,Tokens,Occurences
320,futur,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 4), ('T10.txt', 3)]"
321,discard,"[('T9.txt', 1)]"
322,deserv,"[('T1.txt', 1)]"
323,merychippu,"[('T7.txt', 2)]"
324,peer,"[('T7.txt', 1)]"
325,round,"[('T1.txt', 12), ('T2.txt', 4), ('T3.txt', 7), ('T4.txt', 4), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 20), ('T10.txt', 9)]"
326,eighteen,"[('T1.txt', 1), ('T7.txt', 1)]"
327,sequoia,"[('T6.txt', 1)]"
328,museum,"[('T1.txt', 12), ('T6.txt', 2), ('T7.txt', 4)]"
329,citi,"[('T3.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
330,compress,"[('T10.txt', 1)]"
331,besid,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T8.txt', 2), ('T9.txt', 2)]"
332,oppos,"[('T7.txt', 1)]"
333,graze,"[('T1.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
334,brazilian,"[('T5.txt', 1)]"
335,len,"[('T5.txt', 19), ('T9.txt', 2)]"
336,dominion,"[('T5.txt', 1)]"
337,invisible_,"[('T10.txt', 1)]"
338,heavi,"[('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
339,aim,"[('T1.txt', 2), ('T6.txt', 1)]"
340,push,"[('T7.txt', 2), ('T9.txt', 1)]"
341,man,"[('T1.txt', 33), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 14), ('T7.txt', 36), ('T8.txt', 2), ('T9.txt', 4), ('T10.txt', 2)]"
342,sunris,"[('T9.txt', 1)]"
343,neighbourhood,"[('T10.txt', 1)]"
344,monoton,"[('T7.txt', 1)]"
345,proprietari,"[('T10.txt', 1)]"
346,unsteadi,"[('T8.txt', 1)]"
347,necessari,"[('T1.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
348,treacli,"[('T2.txt', 1)]"
349,diagram,"[('T1.txt', 11), ('T2.txt', 4), ('T4.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 6)]"
350,freedom,"[('T7.txt', 2)]"
351,locat,"[('T10.txt', 6)]"
352,intellig,"[('T1.txt', 7), ('T3.txt', 2), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 17), ('T8.txt', 20)]"
353,electr,"[('T1.txt', 8), ('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 74), ('T10.txt', 8)]"
354,gross,"[('T10.txt', 1)]"
355,mate,"[('T6.txt', 1)]"
356,lash,"[('T6.txt', 3)]"
357,answer,"[('T1.txt', 3), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 10), ('T7.txt', 6), ('T10.txt', 3)]"
358,kept,"[('T6.txt', 3), ('T7.txt', 1)]"
